Data,Valoare EUR (exprimată in lei)
05.03.2023,
06.03.2023,4.9209
07.03.2023,4.9209
08.03.2023,4.9157
09.03.2023,4.9156
10.03.2023,4.9136
11.03.2023,
12.03.2023,
13.03.2023,4.9155
14.03.2023,4.9253
15.03.2023,4.9207
16.03.2023,4.9190
17.03.2023,4.9200
18.03.2023,
19.03.2023,
20.03.2023,4.9219
21.03.2023,4.9209
22.03.2023,4.9232
23.03.2023,4.9214
24.03.2023,4.9255
25.03.2023,
26.03.2023,
27.03.2023,4.9405
28.03.2023,4.9481
29.03.2023,4.9479
30.03.2023,4.9485
31.03.2023,4.9491
01.04.2023,
02.04.2023,
03.04.2023,4.9419
04.04.2023,4.9380
05.04.2023,4.9316
06.04.2023,4.9370
07.04.2023,4.9367
08.04.2023,
09.04.2023,
10.04.2023,4.9315
11.04.2023,4.9338
12.04.2023,4.9381
13.04.2023,4.9432
14.04.2023,
15.04.2023,
16.04.2023,
17.04.2023,
18.04.2023,4.9372
19.04.2023,4.9330
20.04.2023,4.9305
21.04.2023,4.9401
22.04.2023,
23.04.2023,
24.04.2023,4.9293
25.04.2023,4.9340
26.04.2023,4.9401
27.04.2023,4.9439
28.04.2023,4.9353
29.04.2023,
30.04.2023,
01.05.2023,
02.05.2023,4.9290
03.05.2023,4.9298
04.05.2023,4.9295
05.05.2023,4.9273
06.05.2023,
07.05.2023,
08.05.2023,4.9256
09.05.2023,4.9202
10.05.2023,4.9221
11.05.2023,4.9294
12.05.2023,4.9324
13.05.2023,
14.05.2023,
15.05.2023,4.9365
16.05.2023,4.9462
17.05.2023,4.9610
18.05.2023,4.9731
19.05.2023,4.9783
20.05.2023,
21.05.2023,
22.05.2023,4.9780
23.05.2023,4.9710
24.05.2023,4.9624
25.05.2023,4.9578
26.05.2023,4.9575
27.05.2023,
28.05.2023,
29.05.2023,4.9580
30.05.2023,4.9640
31.05.2023,4.9696
01.06.2023,
02.06.2023,4.9633
03.06.2023,
04.06.2023,
05.06.2023,
06.06.2023,4.9615
07.06.2023,4.9578
08.06.2023,4.9543
09.06.2023,4.9560
10.06.2023,
11.06.2023,
12.06.2023,4.9568
13.06.2023,4.9609
14.06.2023,4.9559
15.06.2023,4.9586
16.06.2023,4.9604
17.06.2023,
18.06.2023,
19.06.2023,4.9596
20.06.2023,4.9631
21.06.2023,4.9627
22.06.2023,4.9636
23.06.2023,4.9561
24.06.2023,
25.06.2023,
26.06.2023,4.9556
27.06.2023,4.9630
28.06.2023,4.9583
